Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Item
"0x325c98f1b38ed35dcfebba286f6440089c2d899be58fea40a7d50c04cc967a69","Success","Mint Item","63631873","2024-10-29 11:57:34","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x1c05fe51035AD678d1e3B3ae2664B942c39712e3","","1","#1"
"0x3a7c2cdda26701baea1a83d2e01f20904f4f04e383f794b34b4328cbe87de9ea","Success","Mint Item","63631147","2024-10-29 11:31:49","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4496A21dd5B395A7A20fE966B2CD212f8D28cCbE","","1","#1"
"0x3ff03afcb05e9eb1bc0b20ac595f6d88a0abdfcb4fe38146fc4b4bc3c8d529df","Success","Mint Item","63607704","2024-10-28 21:40:04","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xB2044417a8D930B35C2b2A88bAa16E6e4DFe334A","","1","#1"
"0x685bec336b29f23f8ab8e5be62d529d629702e75778d860809bf4529f7d54abb","Success","Mint Item","63596687","2024-10-28 15:04:34","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x63FCae724395418Acc0402f3dFbCfB1dD131e447","","1","#1"
"0xab366206d078cd3b8ada26b6740e1f8e46fdbb97bc71be2cc4aa652be45103c9","Success","Mint Item","63589679","2024-10-28 10:56:04","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x308bc2038F38Fd193275DAe8bF031E787C0d9276","","1","#1"
"0x27ee89ec88e3cb0724ed9cf8e6ad9f9879f33cecc805637582f60844ca6130cd","Success","Mint Item","63589436","2024-10-28 10:47:19","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x0aE7650670738753b47A159BEb26967F02b7a432","","1","#1"
"0x86335fc0a6f07c37990b5f53d33e12e2537a01c2d19ded4313372c386efdc308","Success","Mint Item","63576787","2024-10-28 03:07:33","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x58E8F11b14770f338C40CABBB9484D84661f97eA","","1","#1"
"0xc340816398a6ec36948b7923fb3a2b15b467067ce118d3e0073fd8f0051c7670","Success","Mint Item","63418123","2024-10-24 04:20:34","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x3F6Ce71e9DB6DAceA7fe9e0983c22D7E0AD203dC","","1","#1"
"0x3f41077ca391791cc623d92433f981b2843f716a3ef184538d44f13b7762c2c9","Success","Mint Item","63395530","2024-10-23 14:54:20","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x8C605ABC302e566e0d8045ebb096C52F60e412f6","","1","#1"
"0xd34c40b6ac11e9d47cfb37601319622ada8ad0c72487c94fddf56b8379162bd7","Success","Mint Item","63389576","2024-10-23 11:22:48","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4B266dA9472224ad1518D3daeB03f71ddB7254bF","","1","#1"
